lang,created_at,id,edit_history_tweet_ids,entities,author_id,geo,text,context_annotations,withheld
en,2022-12-31T22:52:36.000Z,1609321653120700416,['1609321653120700416'],"{'annotations': [{'start': 12, 'end': 20, 'probability': 0.5603, 'type': 'Organization', 'normalized_text': 'shadannys'}]}",3050654534,{'place_id': 'ac88a4f17a51c7fc'},i walk into shadannys crib n this bitch casually listening to one of my breakup playlists 😭🤣🤣🤣 if it bumps it bumps,,
en,2022-12-31T19:27:48.000Z,1609270115127918592,['1609270115127918592'],"{'annotations': [{'start': 24, 'end': 36, 'probability': 0.7381, 'type': 'Other', 'normalized_text': 'Portland Expo'}, {'start': 93, 'end': 97, 'probability': 0.7708, 'type': 'Place', 'normalized_text': 'Maine'}, {'start': 155, 'end': 164, 'probability': 0.7378, 'type': 'Organization', 'normalized_text': 'NBC Sports'}, {'start': 166, 'end': 171, 'probability': 0.5661, 'type': 'Place', 'normalized_text': 'Boston'}, {'start': 188, 'end': 194, 'probability': 0.4666, 'type': 'Other', 'normalized_text': 'Big Jab'}], 'mentions': [{'start': 40, 'end': 53, 'username': 'MaineCeltics', 'id': '21663311'}, {'start': 54, 'end': 64, 'username': 'RGVVipers', 'id': '25697833'}], 'hashtags': [{'start': 210, 'end': 221, 'tag': 'BleedGreen'}], 'urls': [{'start': 222, 'end': 245, 'url': 'https://t.co/NpqRvfwMGY', 'expanded_url': 'https://twitter.com/BrendanGlasheen/status/1609270115127918592/photo/1', 'display_url': 'pic.twitter.com/NpqRvfwMGY', 'media_key': '3_1609270106034405377'}]}",356923702,,"Happy New Year from The Portland Expo!

@MaineCeltics @RGVVipers battle on consecutive days. Maine is 2-0 in the young regular season. 

LIVE at 3 PM on 📺 NBC Sports Boston and 📻 96.3 The Big Jab. Join us! 🎉🎉🎉 #BleedGreen https://t.co/NpqRvfwMGY","[{'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1319305164751163393', 'name': 'New Years Eve', 'description': 'This entity includes all conversations for New Years Eve for all years.'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1457786335108816904', 'name': ""New Year's day"", 'description': ""This entity includes all conversations for the New Year's day for all years. ""}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1605626178454228992', 'name': 'New Years Eve 2023'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1319305164751163393', 'name': 'New Years Eve', 'description': 'This entity includes all conversations for New Years Eve for all years.'}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1457786335108816904', 'name': ""New Year's day"", 'description': ""This entity includes all conversations for the New Year's day for all years. ""}}, {'domain': {'id': '119', 'name': 'Holiday', 'description': 'Holidays like Christmas or Halloween'}, 'entity': {'id': '1605626178454228992', 'name': 'New Years Eve 2023'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847548225712119808', 'name': 'Holidays', 'description': 'Holidays'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1291095284756357120', 'name': 'Cultural events'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1296381531510849536', 'name': 'New Years Eve\t'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1436053202835689485', 'name': 'Events'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1457786335108816904', 'name': ""New Year's day"", 'description': ""This entity includes all conversations for the New Year's day for all years. ""}}, {'domain': {'id': '156', 'name': 'Cities', 'description': 'Cities around the world'}, 'entity': {'id': '855431757247545346', 'name': 'Boston', 'description': 'Boston'}}]",
en,2022-12-31T11:58:14.000Z,1609156976629383169,['1609156976629383169'],"{'urls': [{'start': 78, 'end': 101, 'url': 'https://t.co/CSXLYELLT6', 'expanded_url': 'https://twitter.com/snickles1977/status/1609156976629383169/photo/1', 'display_url': 'pic.twitter.com/CSXLYELLT6', 'media_key': '3_1609156971269087238'}]}",1107254774,{'place_id': '34b5e468ea4e8110'},"Just got out of work late, but sometimes nature shows you it isn't all bad... https://t.co/CSXLYELLT6",,
en,2022-12-31T05:11:50.000Z,1609054703027097601,['1609054703027097601'],"{'mentions': [{'start': 38, 'end': 52, 'username': 'GreatestKatya', 'id': '1531382720298831873'}], 'hashtags': [{'start': 98, 'end': 110, 'tag': 'fridaynight'}, {'start': 166, 'end': 181, 'tag': 'brunettebeauty'}, {'start': 182, 'end': 190, 'tag': 'redhead'}, {'start': 191, 'end': 213, 'tag': 'striptease_dance_show'}, {'start': 214, 'end': 226, 'tag': 'SistersLove'}, {'start': 227, 'end': 238, 'tag': 'striptease'}, {'start': 239, 'end': 250, 'tag': 'stripmenow'}, {'start': 251, 'end': 260, 'tag': 'lingerie'}, {'start': 261, 'end': 267, 'tag': 'Model'}], 'urls': [{'start': 268, 'end': 291, 'url': 'https://t.co/2Taaxwec3S', 'expanded_url': 'https://twitter.com/PDX_Peaches1/status/1609054703027097601/video/1', 'display_url': 'pic.twitter.com/2Taaxwec3S', 'media_key': '7_1609054616280510465'}]}",1430554052916441088,{'place_id': 'ac88a4f17a51c7fc'},"Cum spend some time with the stunning @greatestkatya and @ellie_mcbryde. 🤍

They’re here at 🍑 all #fridaynight long to bring your year to a memorable conclusion. 🌶️

#brunettebeauty #redhead #striptease_dance_show #SistersLove #striptease #stripmenow #lingerie #Model https://t.co/2Taaxwec3S",,
en,2022-12-31T04:29:18.000Z,1609043999440130051,['1609043999440130051'],,1285830911632666625,{'place_id': 'ac88a4f17a51c7fc'},"i remember one time last year, i asked the DJ at my aunts line dancing bar, to play toot it and boot it - and to this day that DJ will not speak to me when i walk up to him trying to request songs😂","[{'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847870201580232704', 'name': 'Dance', 'description': 'Dance'}}]",
en,2022-12-31T00:00:39.000Z,1608976390732533760,['1608976390732533760'],"{'annotations': [{'start': 13, 'end': 18, 'probability': 0.6919, 'type': 'Other', 'normalized_text': 'Carini'}]}",22989389,{'place_id': 'ac88a4f17a51c7fc'},"About to Run
Carini
Dark and Down
Tweezer
No Quarter",,
en,2022-12-30T22:27:28.000Z,1608952941628780544,['1608952941628780544'],"{'urls': [{'start': 65, 'end': 88, 'url': 'https://t.co/b70E2yYxRC', 'expanded_url': 'https://twitter.com/ktrainUSA_STEPN/status/1608952941628780544/photo/1', 'display_url': 'pic.twitter.com/b70E2yYxRC', 'media_key': '3_1608952935031115776'}]}",1458119014278856704,{'place_id': 'ac88a4f17a51c7fc'},It’s been awhile since I’ve got the level 7 on a 17.8 energy run https://t.co/b70E2yYxRC,,
en,2022-12-30T18:43:43.000Z,1608896632741064704,['1608896632741064704'],"{'annotations': [{'start': 50, 'end': 56, 'probability': 0.5188, 'type': 'Other', 'normalized_text': 'Flighty'}, {'start': 65, 'end': 68, 'probability': 0.4008, 'type': 'Other', 'normalized_text': 'FR24'}], 'urls': [{'start': 267, 'end': 290, 'url': 'https://t.co/iCxLwj5N3e', 'expanded_url': 'https://twitter.com/jonk/status/1608896632741064704/photo/1', 'display_url': 'pic.twitter.com/iCxLwj5N3e', 'media_key': '3_1608896627003252737'}, {'start': 267, 'end': 290, 'url': 'https://t.co/iCxLwj5N3e', 'expanded_url': 'https://twitter.com/jonk/status/1608896632741064704/photo/1', 'display_url': 'pic.twitter.com/iCxLwj5N3e', 'media_key': '3_1608896627145871361'}]}",840581,{'place_id': 'ac88a4f17a51c7fc'},"My 2022 in flights. A 95 mile discrepancy between Flighty and My FR24 but I’m too lazy to figure out why. 

Also kind of surprised it’s slightly less than 2021. I expect even less next year so while I don’t know how accurate the overall log is, it’s been a good run. https://t.co/iCxLwj5N3e",,
en,2022-12-30T03:28:10.000Z,1608666226905190402,['1608666226905190402'],,289643509,{'place_id': 'ac88a4f17a51c7fc'},I was using a rope to walk on a roof today at work and my anchor ripped out of the roof… v lucky to be tweeting this,,
en,2022-12-30T02:47:44.000Z,1608656051804700672,['1608656051804700672'],"{'annotations': [{'start': 0, 'end': 15, 'probability': 0.6618, 'type': 'Other', 'normalized_text': 'Fantasy Football'}]}",323963327,{'place_id': 'ac88a4f17a51c7fc'},Fantasy Football gods if you’re listening … please,"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697289971322880', 'name': 'Sports & Fitness Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to sports nutrition, athletic apparel, sports apps, fitness venues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847900493514891265', 'name': 'Sports', 'description': 'Sports'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847901256525856769', 'name': 'Fantasy sports', 'description': 'Fantasy sports'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '847901256525856769', 'name': 'Fantasy sports', 'description': 'Fantasy sports'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '893160411498926080', 'name': 'Fantasy football', 'description': 'Fantasy Football'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847900493514891265', 'name': 'Sports', 'description': 'Sports'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847901256525856769', 'name': 'Fantasy sports', 'description': 'Fantasy sports'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '893160411498926080', 'name': 'Fantasy football', 'description': 'Fantasy Football'}}]",
en,2022-12-30T00:00:26.000Z,1608613948424847360,['1608613948424847360'],"{'annotations': [{'start': 17, 'end': 32, 'probability': 0.4961, 'type': 'Other', 'normalized_text': 'RaiseTheStandard'}], 'hashtags': [{'start': 16, 'end': 33, 'tag': 'RaiseTheStandard'}], 'urls': [{'start': 34, 'end': 57, 'url': 'https://t.co/zYAw5AwovV', 'expanded_url': 'https://twitter.com/lmulionsMBB/status/1608613948424847360/video/1', 'display_url': 'pic.twitter.com/zYAw5AwovV', 'media_key': '7_1608613900647534592'}]}",80688613,{'place_id': 'ac88a4f17a51c7fc'},"⌚️

Let’s run.

#RaiseTheStandard https://t.co/zYAw5AwovV","[{'domain': {'id': '6', 'name': 'Sports Event'}, 'entity': {'id': '1583072666906304515', 'name': 'Lions at Pilots'}}, {'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '706095587419000832', 'name': 'Loyola Marymount Lions'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '706095585175035904', 'name': ""NCAA Men's Basketball""}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '706095609351000064', 'name': 'West Coast'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '706095675713261568', 'name': 'NCAA Division I'}}, {'domain': {'id': '29', 'name': 'Events [Entity Service]', 'description': 'Real world events. '}, 'entity': {'id': '1583072666906304515', 'name': 'Lions at Pilots'}}, {'domain': {'id': '39', 'name': 'Basketball Game', 'description': 'Sports Event specific to Basketball games'}, 'entity': {'id': '1583072666906304515', 'name': 'Lions at Pilots'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557697289971322880', 'name': 'Sports & Fitness Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to sports nutrition, athletic apparel, sports apps, fitness venues'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '706083902411055104', 'name': 'Basketball'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '706095585175035904', 'name': ""NCAA Men's Basketball""}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '706095587419000832', 'name': 'Loyola Marymount Lions'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847900493514891265', 'name': 'Sports', 'description': 'Sports'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '706095609351000064', 'name': 'West Coast'}}]",
