entities,id,text,author_id,edit_history_tweet_ids,lang,created_at,geo,context_annotations
"{'urls': [{'start': 241, 'end': 264, 'url': 'https://t.co/viqEZ9FeEV', 'expanded_url': 'https://twitter.com/DannyQuah/status/1594676328531628032/photo/1', 'display_url': 'pic.twitter.com/viqEZ9FeEV', 'media_key': '3_1594676325453025281'}], 'annotations': [{'start': 90, 'end': 92, 'probability': 0.7276, 'type': 'Organization', 'normalized_text': 'LSE'}, {'start': 192, 'end': 194, 'probability': 0.7932, 'type': 'Organization', 'normalized_text': 'Big'}]}",1594676328531628032,Nowhere in the world am I surprised when I randomly run into former students of mine from LSE.  But when technical economists can't stop talking geopolitics because that's what they and their Big Tech employer have top of mind these days... https://t.co/viqEZ9FeEV,11478792,['1594676328531628032'],en,2022-11-21T12:57:19.000Z,,
"{'annotations': [{'start': 48, 'end': 55, 'probability': 0.9805, 'type': 'Person', 'normalized_text': 'Jim Rohn'}]}",1594309556959858690,“Either you run the day or the day runs you.” — Jim Rohn,3782178154,['1594309556959858690'],en,2022-11-20T12:39:53.000Z,{'place_id': '07d403fda5cb90c2'},
"{'urls': [{'start': 49, 'end': 72, 'url': 'https://t.co/5trtfTwrQ6', 'expanded_url': 'https://twitter.com/michelle_0816/status/1593382978360848384/photo/1', 'display_url': 'pic.twitter.com/5trtfTwrQ6', 'media_key': '3_1593382973025681408'}], 'mentions': [{'start': 37, 'end': 45, 'username': 'BTS_twt', 'id': '335141638'}]}",1593382978360848384,"run bulletproof run, yeah u gotta~~~ @BTS_twt 💜🚘 https://t.co/5trtfTwrQ6",195979493,['1593382978360848384'],en,2022-11-17T23:18:00.000Z,{'place_id': '07d403fda5cb90c2'},"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '844438182523383808', 'name': 'BTS'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '844438182523383808', 'name': 'BTS'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '888105153038958593', 'name': 'K-pop', 'description': 'K-Pop'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '844438182523383808', 'name': 'BTS'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847524658970636288', 'name': 'Music', 'description': 'Music and radio'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '888105153038958593', 'name': 'K-pop', 'description': 'K-Pop'}}]"
"{'urls': [{'start': 258, 'end': 281, 'url': 'https://t.co/ua0jdKyJC1', 'expanded_url': 'https://twitter.com/cutesescape/status/1590995811151716353/photo/1', 'display_url': 'pic.twitter.com/ua0jdKyJC1', 'media_key': '3_1590995806420623360'}], 'annotations': [{'start': 154, 'end': 160, 'probability': 0.4745, 'type': 'Other', 'normalized_text': 'Patreon'}, {'start': 187, 'end': 193, 'probability': 0.4377, 'type': 'Other', 'normalized_text': 'Patreon'}, {'start': 235, 'end': 243, 'probability': 0.9302, 'type': 'Other', 'normalized_text': 'instagram'}]}",1590995811151716353,Hello 👋 I’m a Korean woman working in digital marketing and photography 📸 I have a lot of Korean friend models which I photograph 👍 and expose my work in Patreon 😇 Please follow me in my Patreon 🔗 Link in bio 🌷 Kisses 💋 Cutes 😙 model: instagram @ sonson_owo https://t.co/ua0jdKyJC1,1345458033065926662,['1590995811151716353'],en,2022-11-11T09:12:15.000Z,{'place_id': '07d403fda5cb90c2'},"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1418275363914862596', 'name': 'Patreon'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847869714860605440', 'name': 'Photography', 'description': 'Photography'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847869714860605440', 'name': 'Photography', 'description': 'Photography'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1088088915779579905', 'name': 'Digital marketing', 'description': 'Digital marketing'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1280550787207147521', 'name': 'Arts & culture'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1418275363914862596', 'name': 'Patreon'}}, {'domain': {'id': '165', 'name': 'Technology', 'description': 'for individual and types of technology, e.g., food technology, 3D printing'}, 'entity': {'id': '1196446161223028736', 'name': 'Social media'}}]"
"{'urls': [{'start': 92, 'end': 115, 'url': 'https://t.co/morZG3qhd3', 'expanded_url': 'https://twitter.com/Bravoteam101st/status/1588155097564909568/video/1', 'display_url': 'pic.twitter.com/morZG3qhd3', 'media_key': '7_1588155016195424257'}], 'annotations': [{'start': 11, 'end': 13, 'probability': 0.585, 'type': 'Other', 'normalized_text': 'Isa'}, {'start': 21, 'end': 31, 'probability': 0.4601, 'type': 'Other', 'normalized_text': 'Le Serrafim'}]}",1588155097564909568,"Yoon &amp; Isa STAYC
Le Serrafim ANTIFRAGILE Dance Cover
Who next?
Secret Number Maybe
😆😆😆😆 https://t.co/morZG3qhd3",1321765441505669120,['1588155097564909568'],en,2022-11-03T13:04:16.000Z,{'place_id': '07d403fda5cb90c2'},"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1495792788218155008', 'name': 'StayC'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '1495792788218155008', 'name': 'StayC'}}, {'domain': {'id': '89', 'name': 'Music Album', 'description': 'A music album like The Dark Side of the Moon'}, 'entity': {'id': '1580288366263750656', 'name': 'Antifragile'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847524658970636288', 'name': 'Music', 'description': 'Music and radio'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847870201580232704', 'name': 'Dance', 'description': 'Dance'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '888105153038958593', 'name': 'K-pop', 'description': 'K-Pop'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1377732830906654722', 'name': 'K-pop dance'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1495792788218155008', 'name': 'StayC'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1517239881499480064', 'name': 'LE SSERAFIM'}}]"
"{'urls': [{'start': 43, 'end': 66, 'url': 'https://t.co/W1x9nZIZ32', 'expanded_url': 'https://twitter.com/electrounicorn/status/1579449734586314755/photo/1', 'display_url': 'pic.twitter.com/W1x9nZIZ32', 'media_key': '3_1579449727761858561'}, {'start': 43, 'end': 66, 'url': 'https://t.co/W1x9nZIZ32', 'expanded_url': 'https://twitter.com/electrounicorn/status/1579449734586314755/photo/1', 'display_url': 'pic.twitter.com/W1x9nZIZ32', 'media_key': '3_1579449727753388032'}], 'annotations': [{'start': 5, 'end': 7, 'probability': 0.7953, 'type': 'Organization', 'normalized_text': 'BTS'}, {'start': 26, 'end': 39, 'probability': 0.9384, 'type': 'Other', 'normalized_text': 'Telepathy Game'}]}",1579449734586314755,"Run, BTS! 
Our version of Telepathy Game 😂 https://t.co/W1x9nZIZ32",24505577,['1579449734586314755'],en,2022-10-10T12:32:16.000Z,,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '844438182523383808', 'name': 'BTS'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '844438182523383808', 'name': 'BTS'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '888105153038958593', 'name': 'K-pop', 'description': 'K-Pop'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '844438182523383808', 'name': 'BTS'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847524658970636288', 'name': 'Music', 'description': 'Music and radio'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '888105153038958593', 'name': 'K-pop', 'description': 'K-Pop'}}]"
"{'urls': [{'start': 114, 'end': 137, 'url': 'https://t.co/1wK1tzoovZ', 'expanded_url': 'https://twitter.com/DRWMCHL/status/1577307182034747393/video/1', 'display_url': 'pic.twitter.com/1wK1tzoovZ', 'media_key': '7_1577307104389771264'}], 'annotations': [{'start': 8, 'end': 12, 'probability': 0.9014, 'type': 'Place', 'normalized_text': 'Korea'}, {'start': 36, 'end': 45, 'probability': 0.8413, 'type': 'Person', 'normalized_text': 'Tina Mirae'}, {'start': 53, 'end': 67, 'probability': 0.6225, 'type': 'Organization', 'normalized_text': 'CUFFITCHALLENGE'}, {'start': 91, 'end': 97, 'probability': 0.9368, 'type': 'Person', 'normalized_text': 'Beyonce'}, {'start': 107, 'end': 112, 'probability': 0.9753, 'type': 'Other', 'normalized_text': 'TikTok'}], 'mentions': [{'start': 81, 'end': 89, 'username': 'Beyonce', 'id': '31239408'}], 'hashtags': [{'start': 52, 'end': 68, 'tag': 'CUFFITCHALLENGE'}, {'start': 69, 'end': 73, 'tag': 'joy'}, {'start': 74, 'end': 80, 'tag': 'dance'}, {'start': 90, 'end': 98, 'tag': 'Beyonce'}, {'start': 99, 'end': 105, 'tag': 'vibes'}, {'start': 106, 'end': 113, 'tag': 'TikTok'}]}",1577307182034747393,When in Korea Pt. 1 🇰🇷 with my girl Tina Mirae. 💙🙌🏽 #CUFFITCHALLENGE #joy #dance @Beyonce #Beyonce #vibes #TikTok https://t.co/1wK1tzoovZ,30416624,['1577307182034747393'],en,2022-10-04T14:38:31.000Z,{'place_id': '07d403fda5cb90c2'},"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1455477976347254793', 'name': 'MIRAE'}}, {'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696802391859201', 'name': 'Entertainment & Leisure Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to movies, music, television, franchises, venues, theme parks, toys, tourism, hotels'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '1455477976347254793', 'name': 'MIRAE'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847524658970636288', 'name': 'Music', 'description': 'Music and radio'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '888105153038958593', 'name': 'K-pop', 'description': 'K-Pop'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1455477976347254793', 'name': 'MIRAE'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '806592879661445120', 'name': 'Beyoncé', 'description': 'Beyonce'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '806592879661445120', 'name': 'Beyoncé', 'description': 'Beyonce'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '806592879661445120', 'name': 'Beyoncé', 'description': 'Beyonce'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '810938279801470977', 'name': 'Pop', 'description': 'Pop'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847524658970636288', 'name': 'Music', 'description': 'Music and radio'}}]"
"{'urls': [{'start': 198, 'end': 221, 'url': 'https://t.co/hE4hFVSytU', 'expanded_url': 'https://twitter.com/walkitecture/status/1576022191644155904/photo/1', 'display_url': 'pic.twitter.com/hE4hFVSytU', 'media_key': '3_1576022182349574145'}], 'annotations': [{'start': 45, 'end': 51, 'probability': 0.9697, 'type': 'Other', 'normalized_text': 'Twitter'}], 'hashtags': [{'start': 125, 'end': 137, 'tag': 'photography'}, {'start': 138, 'end': 145, 'tag': 'street'}, {'start': 146, 'end': 158, 'tag': 'Photo_Folio'}, {'start': 159, 'end': 164, 'tag': 'foto'}, {'start': 165, 'end': 172, 'tag': 'camera'}, {'start': 173, 'end': 178, 'tag': 'sony'}, {'start': 179, 'end': 183, 'tag': 'nft'}, {'start': 184, 'end': 197, 'tag': 'photographer'}]}",1576022191644155904,"GM GA GN

I wanna communicate with people on Twitter, but it seems a bit hard to make connections here 😅

What should I do?

#photography #street #Photo_Folio #foto #camera #sony #nft #photographer https://t.co/hE4hFVSytU",1558306302287171585,['1576022191644155904'],en,2022-10-01T01:32:26.000Z,{'place_id': '07d403fda5cb90c2'},"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696848252391426', 'name': 'Financial Services Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to Banks, Credit cards, Insurance, Investments, Stocks '}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1369311988040355840', 'name': 'NFTs', 'description': 'Non-fungible tokens'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847869714860605440', 'name': 'Photography', 'description': 'Photography'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847869714860605440', 'name': 'Photography', 'description': 'Photography'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847894353708068864', 'name': 'Investing', 'description': 'Investing'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1265660441822281728', 'name': 'Art'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1280550787207147521', 'name': 'Arts & culture'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1283786058618945536', 'name': 'Photographers'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1369311988040355840', 'name': 'NFTs', 'description': 'Non-fungible tokens'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1491481998862348291', 'name': 'Digital asset industry'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1492162686204854274', 'name': 'Digital assets & cryptocurrency', 'description': 'Cryptocurrency'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026738409', 'name': 'Sony'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10045225402', 'name': 'X'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026738409', 'name': 'Sony'}}]"
"{'urls': [{'start': 209, 'end': 232, 'url': 'https://t.co/9RHNKklURy', 'expanded_url': 'https://twitter.com/walkitecture/status/1575799570121965569/photo/1', 'display_url': 'pic.twitter.com/9RHNKklURy', 'media_key': '3_1575799564216385536'}], 'hashtags': [{'start': 114, 'end': 121, 'tag': 'street'}, {'start': 122, 'end': 134, 'tag': 'photography'}, {'start': 135, 'end': 148, 'tag': 'photographer'}, {'start': 149, 'end': 154, 'tag': 'foto'}, {'start': 155, 'end': 167, 'tag': 'Photo_Folio'}, {'start': 168, 'end': 182, 'tag': 'photooftheday'}, {'start': 183, 'end': 187, 'tag': 'nft'}, {'start': 188, 'end': 195, 'tag': 'camera'}, {'start': 196, 'end': 201, 'tag': 'sony'}, {'start': 202, 'end': 208, 'tag': 'zve10'}]}",1575799570121965569,"GM! GA! GN! Wherever you are.

A woman is walking by the massive building, with the sunset light shining on her.

#street #photography #photographer #foto #Photo_Folio #photooftheday #nft #camera #sony #zve10 https://t.co/9RHNKklURy",1558306302287171585,['1575799570121965569'],en,2022-09-30T10:47:49.000Z,{'place_id': '07d403fda5cb90c2'},"[{'domain': {'id': '46', 'name': 'Business Taxonomy', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '1557696848252391426', 'name': 'Financial Services Business', 'description': 'Brands, companies, advertisers and every non-person handle with the profit intent related to Banks, Credit cards, Insurance, Investments, Stocks '}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '1369311988040355840', 'name': 'NFTs', 'description': 'Non-fungible tokens'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847869714860605440', 'name': 'Photography', 'description': 'Photography'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847869714860605440', 'name': 'Photography', 'description': 'Photography'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847894353708068864', 'name': 'Investing', 'description': 'Investing'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1265660441822281728', 'name': 'Art'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1280550787207147521', 'name': 'Arts & culture'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1283786058618945536', 'name': 'Photographers'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1369311988040355840', 'name': 'NFTs', 'description': 'Non-fungible tokens'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1491481998862348291', 'name': 'Digital asset industry'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1492162686204854274', 'name': 'Digital assets & cryptocurrency', 'description': 'Cryptocurrency'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026738409', 'name': 'Sony'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026738409', 'name': 'Sony'}}]"
"{'urls': [{'start': 121, 'end': 144, 'url': 'https://t.co/yGuxV2CyRw', 'expanded_url': 'https://twitter.com/walkitecture/status/1575295110593773570/photo/1', 'display_url': 'pic.twitter.com/yGuxV2CyRw', 'media_key': '3_1575295103375056896'}], 'hashtags': [{'start': 21, 'end': 28, 'tag': 'street'}, {'start': 29, 'end': 41, 'tag': 'photography'}, {'start': 42, 'end': 55, 'tag': 'photographer'}, {'start': 56, 'end': 61, 'tag': 'foto'}, {'start': 62, 'end': 74, 'tag': 'Photo_Folio'}, {'start': 75, 'end': 82, 'tag': 'camera'}, {'start': 83, 'end': 88, 'tag': 'sony'}, {'start': 89, 'end': 95, 'tag': 'zve10'}, {'start': 96, 'end': 109, 'tag': 'architecture'}, {'start': 110, 'end': 120, 'tag': 'cityscape'}]}",1575295110593773570,"GN!

Office jungle.

#street #photography #photographer #foto #Photo_Folio #camera #sony #zve10 #architecture #cityscape https://t.co/yGuxV2CyRw",1558306302287171585,['1575295110593773570'],en,2022-09-29T01:23:16.000Z,{'place_id': '07d403fda5cb90c2'},"[{'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847869714860605440', 'name': 'Photography', 'description': 'Photography'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '839544211036749824', 'name': 'Architecture'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '847869714860605440', 'name': 'Photography', 'description': 'Photography'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1265660441822281728', 'name': 'Art'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1278093262406815744', 'name': 'Fields of study'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1280550787207147521', 'name': 'Arts & culture'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1283786058618945536', 'name': 'Photographers'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '1284083471619518464', 'name': 'Architectural photography'}}, {'domain': {'id': '164', 'name': 'Fields of study', 'description': 'for all fields of study, e.g., futurology, microbiology '}, 'entity': {'id': '1278093262406815744', 'name': 'Fields of study'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10026738409', 'name': 'Sony'}}, {'domain': {'id': '131', 'name': 'Unified Twitter Taxonomy', 'description': 'A taxonomy of user interests. '}, 'entity': {'id': '10026738409', 'name': 'Sony'}}]"
